reputation_change_year,reputation_change_quarter,reputation_change_month,reputation_change_week,reputation_change_day,badge_bronze,badge_silver,badge_gold,account_age_days,expertise_level
12,12,12,10,0,46,45,14,6029,Expert
50,50,50,10,0,89,61,13,5370,Expert
20,20,20,0,0,52,57,8,3976,Expert
0,0,0,0,0,59,58,4,4450,Expert
20,20,20,0,0,79,63,5,5983,Expert
60,60,60,0,0,53,36,4,4757,Expert
20,20,20,0,0,46,41,3,5983,Expert
20,20,20,0,0,219,154,61,5233,Expert
30,30,30,0,0,65,58,5,4992,Expert
20,20,20,0,0,77,75,7,5934,Expert
0,0,0,0,0,65,56,5,4640,Expert
20,20,20,0,0,123,73,27,5228,Expert
30,30,30,0,0,96,69,3,5249,Expert
7,7,7,0,0,141,82,20,3688,Expert
50,50,50,10,0,81,72,3,5349,Expert
40,40,40,10,0,86,60,12,5513,Expert
10,10,10,0,0,73,60,13,5991,Expert
0,0,0,0,0,94,69,4,5728,Expert
18,18,18,0,0,94,76,12,5393,Expert
0,0,0,0,0,429,266,69,5051,Expert
30,30,30,0,0,105,95,5,5773,Expert
20,20,20,0,0,80,54,6,5196,Expert
10,10,10,0,0,178,114,25,5134,Expert
10,10,10,0,0,136,125,2,5255,Expert
30,30,30,0,0,127,76,15,5195,Expert
18,18,18,0,0,115,53,7,5100,Expert
40,40,40,0,0,49,44,6,5540,Expert
28,28,28,0,0,85,66,11,6012,Expert
63,63,63,0,0,151,91,15,4343,Expert
30,30,30,0,0,31,34,3,5984,Expert
20,20,20,0,0,103,86,21,5961,Expert
153,153,153,45,0,91,47,16,1760,Expert
0,0,0,0,0,90,61,12,4975,Expert
0,0,0,0,0,118,89,13,3592,Expert
10,10,10,0,0,90,71,5,5946,Expert
10,10,10,0,0,141,86,9,5382,Expert
30,30,30,0,0,75,66,8,5955,Expert
50,50,50,20,0,147,113,33,3835,Expert
40,40,40,0,0,79,52,7,4373,Expert
58,58,58,0,0,132,101,17,4221,Expert
20,20,20,0,0,57,64,6,5892,Expert
20,20,20,0,0,122,75,18,4573,Expert
20,20,20,0,0,81,84,10,5039,Expert
10,10,10,0,0,77,61,13,4399,Expert
240,240,240,30,0,44,32,4,5157,Expert
50,50,50,0,0,158,111,24,4623,Expert
0,0,0,0,0,46,45,5,5605,Expert
0,0,0,0,0,121,65,9,5932,Expert
0,0,0,0,0,54,43,5,5160,Expert
20,20,20,0,0,108,83,20,5843,Expert
0,0,0,0,0,86,74,10,5209,Expert
10,10,10,0,0,106,62,8,5337,Expert
10,10,10,0,0,204,108,17,5661,Expert
20,20,20,0,0,79,55,6,4692,Expert
30,30,30,0,0,92,73,16,6028,Expert
30,30,30,0,0,125,91,16,5612,Expert
60,60,60,10,0,155,109,16,5513,Expert
40,40,40,0,0,69,58,4,5295,Expert
